,c,rel_error,digits,permeability
0,0.01,2.6949937771887444e-10,9.0,0.12528123345353132
1,0.04631578947368421,2.5969444800976553e-10,9.0,0.06704979857338036
2,0.08263157894736842,7.531647874846148e-10,9.0,0.0466427501064835
3,0.11894736842105262,1.2122474132599094e-09,8.0,0.034675116366770946
4,0.15526315789473685,1.9762901030866493e-09,8.0,0.026527851172240588
5,0.19157894736842107,2.903966817807733e-09,8.0,0.020567465456568276
6,0.22789473684210526,7.1795382749637266e-09,8.0,0.016027200646104814
7,0.2642105263157895,1.890797136351068e-08,7.0,0.012485283830181854
8,0.3005263157894737,5.879407529958457e-08,7.0,0.009683744875779398
9,0.3368421052631579,1.7472725222902864e-07,6.0,0.007451954747317255
10,0.37315789473684213,4.0741589625091865e-07,6.0,0.005670019801885192
11,0.4094736842105263,7.354438181209081e-07,6.0,0.004249640777871483
12,0.4457894736842105,1.8173278859698908e-06,5.0,0.0031234016090566797
13,0.48210526315789476,5.691934611915031e-06,5.0,0.00223840632118282
14,0.518421052631579,1.6579842205385545e-05,4.0,0.001552267337035753
15,0.5547368421052632,4.651351866452025e-05,4.0,0.0010304188888246892
16,0.5910526315789474,0.00013850165639123905,3.0,0.0006442133788431004
17,0.6273684210526316,0.0005389579484467164,3.0,0.00036950385196101235
18,0.6636842105263158,0.003265954098917543,2.0,0.00018553116128912708
19,0.7,0.03662814466823718,1.0,7.39749924451704e-05
